,Unnamed: 0,1,X,2,1or2,Xor2,1orX
121,Hull City U21 vs Colchester U21,2.35,3.15,3.05,1.33,3.05,
122,Navbahor Namangan vs FK Andijan,2.35,3.2,2.95,1.30,3.20,
123,FC Kobenhavn U19 vs AGF U19,1.7,3.5,4.9,1.38,2.80,
124,Maccabi Ahi-Nazrat vs Hapoel Ramat Gan,4.1,3.35,1.9,1.35,2.95,
125,Hapoel Rishon Lezion vs Hapoel Afula,2.25,3.35,3.05,1.30,3.25,
126,Hapoel Nir Ramat HaSharon vs Hapoel Nof Hagalil,2.75,3.05,2.6,1.47,2.50,
127,Zira IK vs Sabail FC,1.13,8.5,15.0,1.09,5.50,
128,Kustosija vs Rudes,1.45,4.0,7.5,1.40,2.70,
129,Metalurgs Liepaja vs FK Auda,1.8,3.4,4.4,-,-,
130,FK Tuzla City vs FK Velez Mostar,2.15,3.2,3.4,-,-,
131,Johor Darul Takzim vs PDRM,3.5,3.2,2.1,-,-,
132,Montana vs Litex Lovech,1.25,5.9,9.8,1.15,4.70,
133,Dobrudzha vs FC Sozopol,2.25,3.35,3.05,1.30,3.20,
134,FC Vitosha (Bistritza) vs Spartak Pleven,2.4,3.1,2.95,1.40,2.75,
135,Botev Plovdiv II vs Dunav Ruse,2.05,3.4,3.3,1.30,3.25,
136,Kuala Lumpur vs Imigresen,2.15,3.2,3.3,1.42,2.65,
137,FK Humenne vs MSK Zilina II,5.9,4.1,1.5,1.25,3.60,
138,FK Suduva vs Banga Gargzdai,1.6,4.1,4.9,1.18,4.30,
139,HIFK vs Gnistan,2.2,3.25,3.2,1.33,3.05,
140,FC U Craiova 1948 vs SC FC Voluntari SA,3.95,3.5,1.85,1.30,3.20,
141,FK Arda Kardzhali vs Ludogorets 1947,1.45,4.4,6.4,1.22,3.80,
142,Marila Pribram vs SK Slavia Praha II,3.25,3.6,2.05,1.20,3.90,
143,FC Haka vs AC Oulu,1.09,10.0,24.0,1.08,5.90,
144,KTP vs KuPS,2.75,3.15,2.55,1.40,2.75,
145,Dunajska Streda vs Podbrezova,2.65,3.05,2.65,1.43,2.60,
146,SJK Akatemia vs Jaro,2.8,3.15,2.5,1.38,2.80,
147,Rigas Futbola Skola vs FK Tukums 2000/BSS,1.95,3.5,3.65,1.28,3.35,
148,Marsaxlokk FC vs Floriana,2.05,3.15,4.0,1.50,2.55,
149,Vysocina Jihlava vs SK Lisen,1.52,4.1,5.5,1.22,3.85,
150,HNK Sibenik vs HNK Gorica (Croatia),6.7,3.3,1.6,1.60,2.20,
151,CWKS Resovia Rzeszow vs MZKS Chrobry Glogow,7.5,5.2,1.33,1.14,4.90,
152,Warta Poznan vs Slask Wroclaw,1.95,3.6,3.45,1.20,4.00,
153,PFC Neftchi vs FK Qabala,2.4,3.45,2.7,1.20,3.95,
154,Mes Kerman vs Persepolis,1.75,3.9,4.1,1.18,4.20,
155,Djurgardens IF Women vs Rosengard (Women),6.1,4.6,1.43,1.13,5.10,
156,FK Pohronie vs FK Puchov,1.95,3.6,3.45,1.22,3.80,
157,SK Vorwaerts Steyr vs Amstetten,4.3,4.2,1.65,1.12,5.30,
158,FC Admira Wacker Modling vs KSV Superfund,3.95,2.8,2.15,1.58,2.25,
159,FC Liefering vs BW Linz,2.25,3.6,2.85,1.20,4.10,
160,Licht Loidl Lafnitz vs Rapid Vienna II,2.5,3.75,2.45,1.13,5.20,
161,Herstedoster vs Roskilde KFUM BK,1.7,3.8,4.8,1.27,3.75,
162,Naft Masjed Soleyman vs Zob Ahan,3.25,3.4,2.2,1.28,3.55,
163,Avarta vs Holbaek,2.5,3.3,2.95,1.35,3.35,
164,Herlev vs Slagelse B&I,1.85,3.4,4.1,1.37,2.90,
165,Greuther Furth vs Jahn Regensburg,2.7,2.5,3.25,1.80,1.90,
166,Hannover 96 vs FC Heidenheim,2.6,3.1,2.7,1.40,2.75,
167,Cremonese vs Empoli,2.05,3.45,3.3,1.25,3.60,
168,FCM Traiskirchen vs SV Leobendorf,1.9,3.7,3.6,1.20,4.00,
169,Nassaji Mazandaran vs Aluminium Arak,1.7,3.9,4.8,1.23,4.10,
170,Deportes Recoleta vs Deportes Iquique,2.3,3.55,2.8,1.20,4.10,
